sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
43000656869,2023-10-04T08:26:30Z,81,,81,,60,61,0.0362087326943557
42987868055,2023-10-03T07:39:00Z,74,,74,,82,61,0.07577807848443843
42976647664,2023-10-02T08:24:30Z,81,,81,,64,60,0.05375139977603583
42965234340,2023-10-01T08:46:30Z,79,,79,,80,59,0.04942166140904311
42954736715,2023-09-30T08:59:30Z,75,,75,,43,59,0.050383351588170866
42943579819,2023-09-29T08:27:30Z,77,,77,,44,59,0.04767580452920143
42931676243,2023-09-28T07:14:30Z,67,,67,,29,57,0.0843520782396088
42921118556,2023-09-27T09:13:30Z,87,,87,,78,58,0.0717614165890028
42900040698,2023-09-25T08:59:30Z,75,,75,,46,59,0.06458557588805167
42827240249,2023-09-19T07:05:00Z,61,,61,,43,57,0.1382316313823163
42818107488,2023-09-18T08:08:30Z,86,,86,,47,57,0.047109207708779445
42805478409,2023-09-17T07:54:30Z,70,,70,,50,55,0.10314875135722042
42794813198,2023-09-16T08:18:30Z,79,,79,,71,54,0.05147864184008762
42783025443,2023-09-15T07:37:30Z,84,,84,,52,55,0.0823937554206418
42773848912,2023-09-14T08:59:30Z,77,,77,,32,56,0.045513654096228866
42738238222,2023-09-11T09:23:30Z,71,,71,,49,55,0.08179162609542356
42727246601,2023-09-10T10:15:30Z,86,,86,,51,57,0.05067873303167421
42600827408,2023-08-30T08:37:30Z,67,,67,,64,58,0.11588411588411589
42592554182,2023-08-29T09:18:30Z,78,,78,,80,58,0.09598432908912831
42578024709,2023-08-28T07:59:30Z,82,,82,,76,58,0.03760282021151586
42571672512,2023-08-25T07:30:30Z,72,,72,,59,58,0.09129967776584318
42533764747,2023-08-24T08:12:30Z,81,,81,,99,57,0.06019007391763464
42525066768,2023-08-23T07:30:30Z,84,,84,,108,56,0.048298572996706916
42512373276,2023-08-22T09:08:30Z,87,,87,,67,55,0.07901907356948229
42502625682,2023-08-21T08:07:30Z,86,,86,,80,55,0.03785488958990536
42478258022,2023-08-19T08:07:30Z,79,,79,,35,54,0.042600896860986545
42463896006,2023-08-18T07:58:30Z,83,,83,,53,56,0.06679209783631232
42426960707,2023-08-15T06:59:00Z,76,,76,,74,61,0.057571964956195244
