recorded_time,temperature,sensor_type
2023-11-18T02:07,-0.2310638297872316,UNKNOWN
2023-11-18T02:08,-0.33106382978723303,UNKNOWN
2023-11-18T02:09,-0.33106382978723303,UNKNOWN
2023-11-18T02:10,-0.43106382978723445,UNKNOWN
2023-11-18T02:11,-0.43106382978723445,UNKNOWN
2023-11-18T02:12,-0.43106382978723445,UNKNOWN
2023-11-18T02:13,-0.43106382978723445,UNKNOWN
2023-11-18T02:14,-0.5310638297872359,UNKNOWN
2023-11-18T02:15,-0.5310638297872359,UNKNOWN
2023-11-18T02:16,-0.5310638297872359,UNKNOWN
2023-11-18T02:17,-0.43106382978723445,UNKNOWN
2023-11-18T02:18,-0.5310638297872359,UNKNOWN
2023-11-18T02:19,-0.5310638297872359,UNKNOWN
2023-11-18T02:20,-0.43106382978723445,UNKNOWN
2023-11-18T02:21,-0.43106382978723445,UNKNOWN
2023-11-18T02:22,-0.43106382978723445,UNKNOWN
2023-11-18T02:23,-0.43106382978723445,UNKNOWN
2023-11-18T02:24,-0.33106382978723303,UNKNOWN
2023-11-18T02:25,-0.33106382978723303,UNKNOWN
2023-11-18T02:26,-0.33106382978723303,UNKNOWN
2023-11-18T02:27,-0.33106382978723303,UNKNOWN
2023-11-18T02:28,-0.33106382978723303,UNKNOWN
2023-11-18T02:29,-0.33106382978723303,UNKNOWN
2023-11-18T02:30,-0.33106382978723303,UNKNOWN
2023-11-18T02:31,-0.33106382978723303,UNKNOWN
2023-11-18T02:32,-0.33106382978723303,UNKNOWN
2023-11-18T02:33,-0.33106382978723303,UNKNOWN
2023-11-18T02:34,-0.33106382978723303,UNKNOWN
2023-11-18T02:35,-0.33106382978723303,UNKNOWN
2023-11-18T02:36,-0.33106382978723303,UNKNOWN
2023-11-18T02:37,-0.33106382978723303,UNKNOWN
2023-11-18T02:38,-0.5310638297872359,UNKNOWN
2023-11-18T02:39,-0.831063829787233,UNKNOWN
2023-11-18T02:40,-1.0310638297872359,UNKNOWN
2023-11-18T02:41,-1.331063829787233,UNKNOWN
2023-11-18T02:42,-1.5310638297872359,UNKNOWN
2023-11-18T02:43,-1.7310638297872316,UNKNOWN
2023-11-18T02:44,-1.9310638297872345,UNKNOWN
2023-11-18T02:45,-2.1310638297872337,UNKNOWN
2023-11-18T02:46,-2.231063829787235,UNKNOWN
2023-11-18T02:47,-2.331063829787233,UNKNOWN
2023-11-18T02:48,-2.4310638297872345,UNKNOWN
2023-11-18T02:49,-2.531063829787236,UNKNOWN
2023-11-18T02:50,-2.531063829787236,UNKNOWN
2023-11-18T02:51,-2.6310638297872337,UNKNOWN
2023-11-18T02:52,-2.731063829787235,UNKNOWN
2023-11-18T02:53,-2.731063829787235,UNKNOWN
2023-11-18T02:54,-2.731063829787235,UNKNOWN
2023-11-18T02:55,-2.831063829787233,UNKNOWN
2023-11-18T02:56,-2.831063829787233,UNKNOWN
2023-11-18T02:57,-2.831063829787233,UNKNOWN
2023-11-18T02:58,-2.9310638297872345,UNKNOWN
2023-11-18T02:59,-2.9310638297872345,UNKNOWN
2023-11-18T03:00,-2.9310638297872345,UNKNOWN
2023-11-18T03:01,-2.9310638297872345,UNKNOWN
2023-11-18T03:02,-2.9310638297872345,UNKNOWN
2023-11-18T03:03,-2.9310638297872345,UNKNOWN
2023-11-18T03:04,-3.031063829787236,UNKNOWN
2023-11-18T03:05,-3.031063829787236,UNKNOWN
2023-11-18T03:06,-3.031063829787236,UNKNOWN
2023-11-18T03:07,-2.831063829787233,UNKNOWN
2023-11-18T03:08,-2.4310638297872345,UNKNOWN
2023-11-18T03:09,-1.9310638297872345,UNKNOWN
2023-11-18T03:10,-1.5310638297872359,UNKNOWN
