type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-09-09T00:46:30,2023-09-09T08:53:30,475,33.34210526315789,-61.5003699593035,560.7006221159827,0.5766701937189305,1.108034818737353
IDT,2023-09-10T01:03:30,2023-09-10T10:15:30,546,33.895054945054945,197.28588235294228,698.9818486736622,0.5697840779804149,1.1172796832371412
IDT,2023-09-11T00:50,2023-09-11T09:23:30,503,33.43280318091451,-25.38196078431065,585.8495505631436,0.5474334058545542,1.114259990630887
IDT,2023-09-14T02:24,2023-09-14T08:59:30,395,32.94126582278481,-214.08941254434103,430.63351028738543,0.5626744010355924,1.1060784345600627
IDT,2023-09-14T22:01:30,2023-09-15T07:37:30,565,32.92637168141593,-286.13379721669844,1140.544229928637,0.5554613891649575,1.1300948624534233
IDT,2023-09-16T00:39,2023-09-16T08:18:30,455,33.29648351648352,-41.39167102646934,773.2198031436419,0.5368795682309639,1.1417085483257599
IDT,2023-09-17T00:14:30,2023-09-17T07:54:30,460,31.155217391304348,-997.3485968442219,2416.357964406954,0.7513502513796015,1.2162518016388788
IDT,2023-09-18T00:00,2023-09-18T08:08:30,488,33.578893442622956,93.42233964633488,565.0973023462575,0.7528481963697058,1.2094170877043673
IDT,2023-09-19T00:15,2023-09-19T07:05,392,31.228316326530614,-828.6052631578932,2221.4323268698063,0.8761035051772246,1.2679328017959512
IDT,2023-09-25T01:15:30,2023-09-25T08:59:30,457,33.669146608315096,149.45789473684272,511.59387811634224,0.9216243013346039,1.3647890615571885
IDT,2023-09-27T00:17:30,2023-09-27T09:13:30,523,33.29349904397706,-5.820321931587387,1024.3226694981568,0.8642700032609302,1.3646645784405425
IDT,2023-09-28T00:17,2023-09-28T07:14:30,418,31.76555023923445,-639.9301098901105,2042.794223789475,0.9185404302959912,1.4355170170184097
IDT,2023-09-29T01:28:30,2023-09-29T08:27:30,407,33.122850122850124,-69.4541108986632,1198.829762950074,0.9134007881261584,1.4588337540416212
IDT,2023-09-30T01:23:30,2023-09-30T08:59:30,442,33.83190045248869,237.31385413821226,770.7561886108015,0.9125204246608347,1.4642295125089906
IDT,2023-10-01T00:39,2023-10-01T08:46:30,474,33.34050632911392,20.86681318681076,828.9008942882065,0.8847176346224229,1.4589459135684333
