recorded_time,temperature,sensor_type
2023-10-25T00:00,-2.5648985347359314,UNKNOWN
2023-10-25T00:01,-2.5648985347359314,UNKNOWN
2023-10-25T00:02,-2.164898534735933,UNKNOWN
2023-10-25T00:03,-2.0648985347359314,UNKNOWN
2023-10-25T00:04,-2.164898534735933,UNKNOWN
2023-10-25T00:05,-2.2648985347359307,UNKNOWN
2023-10-25T00:06,-2.2648985347359307,UNKNOWN
2023-10-25T00:07,-2.164898534735933,UNKNOWN
2023-10-25T00:08,-1.8648985347359321,UNKNOWN
2023-10-25T00:09,-1.6648985347359329,UNKNOWN
2023-10-25T00:10,-1.5648985347359314,UNKNOWN
2023-10-25T00:11,-1.46489853473593,UNKNOWN
2023-10-25T00:12,-1.5648985347359314,UNKNOWN
2023-10-25T00:13,-1.6648985347359329,UNKNOWN
2023-10-25T00:14,-1.6648985347359329,UNKNOWN
2023-10-25T00:15,-1.6648985347359329,UNKNOWN
2023-10-25T00:16,-1.7648985347359307,UNKNOWN
2023-10-25T00:17,-1.7648985347359307,UNKNOWN
2023-10-25T00:18,-1.6648985347359329,UNKNOWN
2023-10-25T00:19,-1.8648985347359321,UNKNOWN
2023-10-25T00:20,-2.0648985347359314,UNKNOWN
2023-10-25T00:21,-2.0648985347359314,UNKNOWN
2023-10-25T00:22,-2.164898534735933,UNKNOWN
2023-10-25T00:23,-2.164898534735933,UNKNOWN
2023-10-25T00:24,-2.0648985347359314,UNKNOWN
2023-10-25T00:25,-2.0648985347359314,UNKNOWN
2023-10-25T00:26,-2.2648985347359307,UNKNOWN
2023-10-25T00:58,-6.764898534735931,UNKNOWN
2023-10-25T00:59,-5.264898534735931,UNKNOWN
2023-10-25T01:00,-4.364898534735932,UNKNOWN
2023-10-25T01:01,-3.46489853473593,UNKNOWN
2023-10-25T01:02,-2.664898534735933,UNKNOWN
2023-10-25T01:03,-2.364898534735932,UNKNOWN
2023-10-25T01:04,-2.46489853473593,UNKNOWN
2023-10-25T01:05,-2.46489853473593,UNKNOWN
2023-10-25T01:06,-2.46489853473593,UNKNOWN
2023-10-25T01:07,-2.46489853473593,UNKNOWN
2023-10-25T01:08,-2.46489853473593,UNKNOWN
2023-10-25T01:09,-2.5648985347359314,UNKNOWN
2023-10-25T01:10,-2.5648985347359314,UNKNOWN
2023-10-25T01:11,-2.5648985347359314,UNKNOWN
2023-10-25T01:12,-2.5648985347359314,UNKNOWN
2023-10-25T01:13,-2.5648985347359314,UNKNOWN
2023-10-25T01:14,-2.5648985347359314,UNKNOWN
2023-10-25T01:15,-2.5648985347359314,UNKNOWN
2023-10-25T01:16,-2.5648985347359314,UNKNOWN
2023-10-25T01:17,-2.664898534735933,UNKNOWN
2023-10-25T01:18,-2.664898534735933,UNKNOWN
2023-10-25T01:19,-2.664898534735933,UNKNOWN
2023-10-25T01:20,-2.7648985347359307,UNKNOWN
2023-10-25T01:21,-2.7648985347359307,UNKNOWN
2023-10-25T01:22,-2.7648985347359307,UNKNOWN
