type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-12-01T01:18,2023-12-01T09:09:30,471,34.388535031847134,284.932835820895,757.0690465583466,0.6671755990459578,1.225999157187124
IDT,2023-12-02T00:36:30,2023-12-02T09:03:30,500,33.5372,-111.14383699480459,551.5139850035775,0.6537424559275908,1.2182331746667783
IDT,2023-12-03T00:45,2023-12-03T10:18:30,567,34.22275132275133,248.1730490405098,1380.020603650948,0.6615837193293576,1.2494749722822205
IDT,2023-12-04T02:43:30,2023-12-04T09:21,397,34.1536523929471,145.7473469387769,495.2542295709718,0.6527688829907158,1.2459438430694252
IDT,2023-12-04T23:57,2023-12-05T09:19:30,556,33.84262589928058,31.188979591839598,187.9093209495768,0.6380156143840687,1.2291576894949163
IDT,2023-12-05T23:36,2023-12-06T09:02:30,561,33.37130124777184,-232.11661285410082,1197.9273831781466,0.6292611473470938,1.2392862658455541
IDT,2023-12-07T00:21:30,2023-12-07T08:10,466,33.09678111587983,-308.8212560791544,1409.0630433611805,0.6376958683822661,1.2622157751800762
IDT,2023-12-07T23:34:30,2023-12-08T09:23:30,577,34.10814558058925,201.17561210799977,630.6931835475843,0.6349508003092174,1.25128315937697
IDT,2023-12-08T23:38:30,2023-12-09T08:47,548,33.54835766423358,-115.69924534630263,685.2561046963092,0.635500324628513,1.2506989099768693
IDT,2023-12-11T01:33:30,2023-12-11T09:10,456,33.80701754385965,10.686567164178996,601.6479884161381,0.34450713441797093,1.1595655911620393
IDT,2023-12-11T23:47,2023-12-12T07:39:30,473,32.40993657505285,-638.3376697970834,976.0326018646592,0.43231146140646537,1.1678231383358293
IDT,2023-12-13T23:41:30,2023-12-14T09:04:30,563,33.21314387211368,-292.72791127541495,1215.564564901404,0.4470240317957083,1.2091921144630324
IDT,2023-12-15T00:02,2023-12-15T09:32:30,568,33.54049295774648,-86.31975560081628,974.7667961390689,0.44294690307708046,1.2316583065822622
IDT,2023-12-15T23:10:30,2023-12-16T08:27:30,546,33.59102564102564,-41.39439675548056,588.4242968547624,0.4343158432048824,1.2240699227275291
IDT,2023-12-17T00:49:30,2023-12-17T09:26:30,508,33.29783464566929,-161.68905945825463,594.7509093475528,0.4397612414449698,1.2186421512316488
IDT,2023-12-18T00:14:30,2023-12-18T08:48:30,512,33.2330078125,-196.15354024139015,1203.9610182605684,0.44410346153057795,1.2234747176641583
IDT,2023-12-19T00:30:30,2023-12-19T09:01,510,33.583333333333336,-3.9230769230744045,465.7585108480416,0.43566022710873836,1.2146910648108398
IDT,2023-12-20T00:11,2023-12-20T08:13:30,483,33.69089026915114,23.99327548807196,701.6117955874652,0.4352082513128558,1.2052047919591564
IDT,2023-12-21T00:40,2023-12-21T08:56,496,33.65403225806452,6.357483731022512,288.93342257943004,0.42680575813339805,1.2028473544333969
IDT,2023-12-22T00:11,2023-12-22T07:16:30,415,31.440722891566264,-892.375641025641,2055.979577580467,0.5842752719522908,1.2409151494931518
IDT,2023-12-22T23:34,2023-12-23T10:16:30,632,33.95537974683545,214.41203626453353,975.1430400239769,0.578915903854629,1.2441056402492898
IDT,2023-12-24T00:20:30,2023-12-24T09:23,541,33.772643253234754,81.21183829611255,842.4461787051987,0.5802404798790902,1.250400316300372
IDT,2023-12-25T00:04,2023-12-25T09:50,586,33.783617747440275,94.39803556658444,547.429196448531,0.5809041654137184,1.2476756657985428
IDT,2023-12-26T02:12,2023-12-26T10:04,471,34.514225053078555,396.47074484071345,564.8694087360054,0.6022866795891975,1.2464568011696584
IDT,2023-12-28T00:26:30,2023-12-28T08:10:30,464,33.31875,-126.33589743589619,647.9250624588458,0.6058839432385913,1.2510354713054384
IDT,2023-12-28T23:27,2023-12-29T08:07,520,33.895,125.30322580645225,456.8410353795625,0.6091382219628014,1.2509356816756472
IDT,2023-12-30T00:54,2023-12-30T08:25:30,452,34.14734513274337,222.97741935483828,349.8844458897365,0.6185826155473408,1.239379884055975
