recorded_time,temperature,sensor_type
2023-12-18T00:16,-7.416120195783964,UNKNOWN
2023-12-18T00:17,-6.616120195783964,UNKNOWN
2023-12-18T00:18,-6.016120195783962,UNKNOWN
2023-12-18T00:19,-5.416120195783964,UNKNOWN
2023-12-18T00:20,-5.016120195783962,UNKNOWN
2023-12-18T00:21,-4.516120195783962,UNKNOWN
2023-12-18T00:22,-4.016120195783962,UNKNOWN
2023-12-18T00:23,-3.4161201957839644,UNKNOWN
2023-12-18T00:24,-3.0161201957839623,UNKNOWN
2023-12-18T00:25,-2.6161201957839637,UNKNOWN
2023-12-18T00:26,-2.316120195783963,UNKNOWN
2023-12-18T00:27,-2.1161201957839637,UNKNOWN
2023-12-18T00:28,-2.1161201957839637,UNKNOWN
2023-12-18T00:29,-2.316120195783963,UNKNOWN
2023-12-18T00:30,-2.4161201957839644,UNKNOWN
2023-12-18T00:31,-2.316120195783963,UNKNOWN
2023-12-18T00:32,-2.316120195783963,UNKNOWN
2023-12-18T00:33,-2.216120195783965,UNKNOWN
2023-12-18T00:34,-2.1161201957839637,UNKNOWN
2023-12-18T00:35,-2.0161201957839623,UNKNOWN
2023-12-18T00:36,-1.816120195783963,UNKNOWN
2023-12-18T00:37,-1.7161201957839651,UNKNOWN
2023-12-18T00:38,-1.6161201957839637,UNKNOWN
2023-12-18T00:39,-1.6161201957839637,UNKNOWN
2023-12-18T00:40,-1.5161201957839623,UNKNOWN
2023-12-18T00:41,-1.5161201957839623,UNKNOWN
2023-12-18T00:42,-1.4161201957839609,UNKNOWN
2023-12-18T00:43,-1.3161201957839666,UNKNOWN
2023-12-18T00:44,-1.3161201957839666,UNKNOWN
2023-12-18T00:45,-1.2161201957839651,UNKNOWN
2023-12-18T00:46,-1.1161201957839637,UNKNOWN
2023-12-18T00:47,-1.1161201957839637,UNKNOWN
2023-12-18T00:48,-1.0161201957839623,UNKNOWN
2023-12-18T00:49,-0.9161201957839609,UNKNOWN
2023-12-18T00:50,-0.8161201957839666,UNKNOWN
2023-12-18T00:51,-0.8161201957839666,UNKNOWN
2023-12-18T00:52,-0.7161201957839651,UNKNOWN
2023-12-18T00:53,-0.7161201957839651,UNKNOWN
2023-12-18T00:54,-0.6161201957839637,UNKNOWN
2023-12-18T00:55,-0.6161201957839637,UNKNOWN
2023-12-18T00:56,-0.6161201957839637,UNKNOWN
2023-12-18T00:57,-0.5161201957839623,UNKNOWN
2023-12-18T00:58,-0.5161201957839623,UNKNOWN
2023-12-18T00:59,-0.41612019578396087,UNKNOWN
2023-12-18T01:00,-0.31612019578396655,UNKNOWN
2023-12-18T01:01,-0.31612019578396655,UNKNOWN
2023-12-18T01:02,-0.31612019578396655,UNKNOWN
2023-12-18T01:03,-0.31612019578396655,UNKNOWN
2023-12-18T01:04,-0.31612019578396655,UNKNOWN
2023-12-18T01:05,-0.21612019578396513,UNKNOWN
2023-12-18T01:06,-0.21612019578396513,UNKNOWN
2023-12-18T01:07,-0.11612019578396371,UNKNOWN
2023-12-18T01:08,-0.11612019578396371,UNKNOWN
2023-12-18T01:09,-0.11612019578396371,UNKNOWN
2023-12-18T01:10,-0.016120195783962288,UNKNOWN
2023-12-18T01:11,-0.016120195783962288,UNKNOWN
2023-12-18T01:12,0.18387980421603345,UNKNOWN
2023-12-18T01:13,0.28387980421603487,UNKNOWN
2023-12-18T01:14,0.3838798042160363,UNKNOWN
2023-12-18T01:15,0.4838798042160377,UNKNOWN
2023-12-18T01:16,0.6838798042160334,UNKNOWN
2023-12-18T01:17,0.7838798042160349,UNKNOWN
2023-12-18T01:18,0.8838798042160363,UNKNOWN
2023-12-18T01:19,0.9838798042160377,UNKNOWN
2023-12-18T01:20,0.9838798042160377,UNKNOWN
2023-12-18T01:21,1.0838798042160391,UNKNOWN
2023-12-18T01:22,1.1838798042160334,UNKNOWN
2023-12-18T01:23,1.1838798042160334,UNKNOWN
2023-12-18T01:24,1.1838798042160334,UNKNOWN
2023-12-18T01:25,1.2838798042160349,UNKNOWN
2023-12-18T01:26,1.2838798042160349,UNKNOWN
2023-12-18T01:27,1.3838798042160363,UNKNOWN
2023-12-18T01:28,1.3838798042160363,UNKNOWN
2023-12-18T01:29,1.3838798042160363,UNKNOWN
2023-12-18T01:30,1.3838798042160363,UNKNOWN
2023-12-18T01:31,1.2838798042160349,UNKNOWN
2023-12-18T01:32,1.1838798042160334,UNKNOWN
2023-12-18T01:33,1.0838798042160391,UNKNOWN
2023-12-18T01:34,1.0838798042160391,UNKNOWN
2023-12-18T01:35,0.9838798042160377,UNKNOWN
2023-12-18T01:36,0.9838798042160377,UNKNOWN
