timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-08-15T06:59:00,18.6,1.8,7.28,18.6,1.8,7.28,17.4,2.0,11.396,-1.0,0.0,1.63
2023-08-18T07:58:30,18.6,1.3,5.408,18.6,1.3,5.408,17.6,2.3,11.42,-1.0,0.0,2.29
2023-08-19T08:07:30,18.6,1.2,4.524,18.6,1.2,4.524,18.4,2.0,11.16,-1.0,0.0,1.473
2023-08-21T08:07:30,18.8,1.1,6.556,18.8,1.1,6.556,17.8,1.9,12.046,18.0,1.3,3.281
2023-08-22T09:08:30,19.0,1.1,9.473,19.0,1.1,9.473,17.8,2.3,11.587,-1.0,0.0,1.636
2023-08-23T07:30:30,18.4,1.6,4.772,18.4,1.6,4.772,17.4,1.8,11.521,-1.0,0.0,2.35
2023-08-24T08:12:30,17.6,1.6,8.74,17.6,1.6,8.74,17.2,2.1,11.463,-1.0,0.0,1.525
2023-08-25T07:30:30,16.2,0.7,9.643,16.2,0.7,9.643,16.2,0.9,4.331,26.8,0.5,4.297
2023-08-28T07:59:30,18.2,1.5,7.769,18.2,1.5,7.769,17.8,1.7,13.341,18.6,0.5,2.657
2023-08-29T09:18:30,18.8,1.4,6.027,18.8,1.4,6.027,18.2,1.5,11.838,-1.0,0.0,2.028
2023-08-30T08:37:30,18.6,1.7,7.929,18.6,1.7,7.929,17.6,1.6,9.976,-1.0,0.0,1.414
2023-09-09T08:53:30,18.8,2.1,6.434,18.8,2.1,6.434,17.8,2.1,5.952,17.4,3.2,8.638
2023-09-10T10:15:30,18.6,1.5,7.475,18.6,1.5,7.475,17.8,1.5,6.201,27.6,0.4,2.878
2023-09-11T09:23:30,19.0,0.8,4.848,19.0,0.8,4.848,18.2,1.8,9.926,19.6,0.6,2.565
