timestamp,bucket_values
2023-11-01T07:57:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.002, 0.002, 0.006, 0.022, 0.057, 0.13, 0.232, 0.295, 0.179, 0.055, 0.012, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-03T08:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.008, 0.025, 0.096, 0.174, 0.169, 0.183, 0.173, 0.112, 0.042, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-05T08:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.005, 0.009, 0.031, 0.087, 0.167, 0.299, 0.277, 0.098, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-07T08:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.019, 0.139, 0.194, 0.145, 0.178, 0.166, 0.109, 0.033, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-08T08:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.009, 0.067, 0.095, 0.098, 0.167, 0.186, 0.164, 0.126, 0.064, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-09T08:56:30,"[0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.002, 0.003, 0.004, 0.008, 0.016, 0.041, 0.109, 0.231, 0.277, 0.201, 0.081, 0.015, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0]"
2023-11-10T08:07:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.004, 0.006, 0.011, 0.02, 0.031, 0.051, 0.213, 0.268, 0.196, 0.109, 0.05, 0.023, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-11T09:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.003, 0.01, 0.034, 0.101, 0.219, 0.299, 0.233, 0.079, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-13T09:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.003, 0.005, 0.012, 0.028, 0.081, 0.206, 0.312, 0.231, 0.091, 0.022, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-14T09:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.001, 0.002, 0.002, 0.004, 0.013, 0.037, 0.134, 0.289, 0.313, 0.152, 0.038, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-15T08:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.003, 0.004, 0.014, 0.045, 0.139, 0.238, 0.24, 0.205, 0.084, 0.018, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-17T08:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.003, 0.01, 0.032, 0.089, 0.181, 0.277, 0.248, 0.117, 0.031, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-18T08:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.002, 0.002, 0.006, 0.023, 0.063, 0.144, 0.211, 0.216, 0.188, 0.104, 0.029, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
