timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-29T00:30:00,45.749,1.004,405.782,313.587
2023-11-29T00:35:00,55.166,1.002,289.028,477.702
2023-11-29T00:40:00,57.106,0.948,1704.286,532.639
2023-11-29T00:45:00,47.177,1.005,367.352,306.829
2023-11-29T00:50:00,45.381,0.952,416.967,317.085
2023-11-29T00:55:00,45.591,1.002,168.192,364.707
2023-11-29T01:00:00,43.958,0.959,458.995,317.232
2023-11-29T01:10:00,44.998,1.003,144.545,356.982
2023-11-29T01:20:00,48.495,0.87,389.429,404.999
2023-11-29T01:25:00,45.37,1.002,628.051,341.271
2023-11-29T01:30:00,51.643,1.005,742.507,418.583
2023-11-29T01:35:00,51.779,0.958,706.121,409.744
2023-11-29T01:40:00,52.053,1.006,691.649,362.709
2023-11-29T01:45:00,41.462,0.988,166.761,208.161
2023-11-29T01:50:00,43.827,1.0,232.055,212.995
2023-11-29T01:55:00,46.36,0.988,191.999,294.06
2023-11-29T02:00:00,49.45,1.006,866.76,340.289
2023-11-29T02:05:00,43.274,1.001,144.853,238.126
2023-11-29T02:10:00,49.781,0.999,288.191,381.026
2023-11-29T02:15:00,52.68,1.005,244.492,411.123
2023-11-29T02:20:00,56.884,1.001,389.973,537.99
2023-11-29T02:25:00,62.576,0.974,658.658,402.605
2023-11-29T02:30:00,55.1,1.006,416.911,434.04
2023-11-29T02:35:00,51.14,1.003,320.246,409.18
2023-11-29T02:40:00,48.147,0.961,622.734,360.743
2023-11-29T02:45:00,44.027,0.931,194.552,359.896
2023-11-29T02:50:00,40.011,0.974,139.15,251.477
2023-11-29T02:55:00,41.438,0.964,239.575,258.437
2023-11-29T03:00:00,43.655,0.983,403.445,293.06
2023-11-29T03:05:00,48.195,1.001,573.328,326.155
2023-11-29T03:10:00,46.739,0.997,1170.719,354.403
2023-11-29T03:15:00,47.624,0.936,1208.675,282.722
2023-11-29T03:20:00,44.637,0.948,642.066,240.284
2023-11-29T03:25:00,47.296,0.989,586.253,373.637
2023-11-29T03:30:00,52.586,0.999,946.011,393.011
2023-11-29T03:35:00,51.374,0.996,395.084,441.691
2023-11-29T03:40:00,54.831,1.004,193.056,436.298
2023-11-29T03:45:00,53.62,0.918,541.281,443.33
2023-11-29T03:50:00,51.76,0.991,615.336,435.249
2023-11-29T03:55:00,48.772,0.983,348.54,347.206
2023-11-29T04:00:00,49.925,0.994,684.43,406.03
2023-11-29T04:05:00,48.793,0.95,1077.898,253.132
2023-11-29T04:10:00,41.333,0.999,307.878,201.695
2023-11-29T04:15:00,59.14,1.002,1108.372,514.249
2023-11-29T04:20:00,50.951,0.998,493.778,386.633
2023-11-29T04:25:00,55.064,0.955,930.956,389.987
2023-11-29T04:30:00,50.174,0.989,962.16,337.914
2023-11-29T04:35:00,61.563,0.906,789.174,541.546
2023-11-29T04:40:00,75.1,0.982,2892.303,1648.626
2023-11-29T04:45:00,89.763,0.967,499.512,1240.69
2023-11-29T04:50:00,53.685,0.88,268.279,397.434
2023-11-29T04:55:00,98.434,0.744,7816.488,682.402
