timestamp,bucket_values
2023-10-01T08:46:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.013, 0.095, 0.15, 0.164, 0.145, 0.152, 0.165, 0.084, 0.019, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-02T08:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.004, 0.005, 0.013, 0.042, 0.136, 0.262, 0.327, 0.159, 0.043, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-03T07:39:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.003, 0.004, 0.009, 0.021, 0.066, 0.138, 0.295, 0.266, 0.127, 0.044, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-04T08:26:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.002, 0.003, 0.009, 0.026, 0.119, 0.339, 0.272, 0.164, 0.055, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-05T08:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.008, 0.012, 0.023, 0.042, 0.089, 0.214, 0.315, 0.193, 0.062, 0.019, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-07T09:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.012, 0.061, 0.125, 0.228, 0.293, 0.195, 0.063, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-08T10:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.011, 0.027, 0.067, 0.17, 0.257, 0.255, 0.162, 0.036, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-09T08:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.005, 0.019, 0.088, 0.202, 0.3, 0.212, 0.107, 0.047, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-10T07:58:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.007, 0.011, 0.025, 0.06, 0.123, 0.224, 0.31, 0.16, 0.055, 0.013, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-11T08:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.004, 0.006, 0.01, 0.014, 0.018, 0.05, 0.268, 0.301, 0.17, 0.086, 0.038, 0.016, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-12T09:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.006, 0.05, 0.167, 0.198, 0.177, 0.176, 0.13, 0.072, 0.015, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-13T09:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.013, 0.046, 0.113, 0.131, 0.209, 0.202, 0.153, 0.092, 0.029, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-14T11:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.006, 0.03, 0.111, 0.172, 0.175, 0.206, 0.183, 0.084, 0.021, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-15T09:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.002, 0.004, 0.006, 0.016, 0.058, 0.224, 0.385, 0.215, 0.07, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-16T10:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.006, 0.033, 0.14, 0.208, 0.215, 0.207, 0.117, 0.048, 0.015, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-17T07:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.007, 0.011, 0.015, 0.021, 0.042, 0.091, 0.216, 0.264, 0.201, 0.087, 0.028, 0.008, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-18T07:30:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.007, 0.005, 0.009, 0.016, 0.023, 0.041, 0.053, 0.189, 0.289, 0.205, 0.108, 0.032, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-19T07:20:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.004, 0.006, 0.012, 0.018, 0.028, 0.058, 0.174, 0.371, 0.192, 0.081, 0.031, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-20T08:12:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.006, 0.006, 0.015, 0.031, 0.071, 0.117, 0.212, 0.269, 0.171, 0.057, 0.024, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-23T09:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.005, 0.015, 0.123, 0.297, 0.25, 0.143, 0.089, 0.045, 0.019, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-10-24T09:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.003, 0.005, 0.017, 0.064, 0.163, 0.336, 0.306, 0.086, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
