timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-11T00:20:00,52.888,0.843,762.165,617.01
2023-11-11T00:25:00,49.164,0.875,560.495,300.193
2023-11-11T00:30:00,50.403,0.927,2193.904,472.695
2023-11-11T00:35:00,46.63,0.9,1175.142,1177.539
2023-11-11T00:40:00,41.525,0.722,550.046,251.191
2023-11-11T00:45:00,38.348,0.959,2312.551,297.421
2023-11-11T00:50:00,37.614,0.999,167.099,253.968
2023-11-11T00:55:00,38.775,0.987,194.326,255.982
2023-11-11T01:00:00,37.204,1.004,299.124,228.635
2023-11-11T01:05:00,34.203,1.003,229.258,168.568
2023-11-11T01:10:00,31.826,1.005,109.186,149.609
2023-11-11T01:15:00,31.17,0.967,194.671,177.855
2023-11-11T01:20:00,33.877,0.989,178.409,228.991
2023-11-11T01:25:00,37.269,1.001,845.861,209.39
2023-11-11T01:30:00,34.639,0.969,1072.328,205.781
2023-11-11T01:35:00,29.355,0.941,1390.319,189.436
2023-11-11T01:40:00,28.075,1.003,119.982,145.148
2023-11-11T01:45:00,32.144,1.004,214.789,209.635
2023-11-11T01:50:00,33.103,1.002,267.351,217.882
2023-11-11T01:55:00,49.581,0.969,727.778,606.137
2023-11-11T02:00:00,62.806,0.983,595.724,496.088
2023-11-11T02:05:00,36.094,0.941,682.075,187.817
2023-11-11T02:10:00,38.166,0.989,744.29,362.871
2023-11-11T02:15:00,41.095,1.002,846.286,333.076
2023-11-11T02:20:00,39.16,0.816,245.183,189.446
2023-11-11T02:25:00,37.809,1.002,581.556,262.091
2023-11-11T02:30:00,33.027,0.988,225.786,206.348
2023-11-11T02:35:00,34.959,1.005,445.869,183.96
2023-11-11T02:40:00,34.583,0.96,169.617,224.27
2023-11-11T02:45:00,43.725,1.004,543.724,435.823
2023-11-11T02:50:00,42.346,0.985,946.019,247.033
2023-11-11T02:55:00,39.605,1.002,803.24,362.779
2023-11-11T03:00:00,46.542,1.007,330.962,350.523
2023-11-11T03:05:00,48.11,1.004,223.011,385.611
2023-11-11T03:10:00,50.647,0.98,400.207,398.26
2023-11-11T03:15:00,53.753,0.997,849.565,434.731
2023-11-11T03:20:00,62.702,0.895,2446.863,533.714
2023-11-11T03:25:00,60.754,1.002,1039.495,484.725
2023-11-11T03:30:00,60.098,0.988,460.152,499.536
2023-11-11T03:35:00,48.048,0.936,1487.357,388.524
2023-11-11T03:40:00,45.665,0.986,388.252,286.939
2023-11-11T03:45:00,39.197,0.788,626.891,239.915
2023-11-11T03:50:00,47.572,0.898,434.161,391.473
2023-11-11T03:55:00,39.917,0.979,357.001,255.909
2023-11-11T04:00:00,48.609,1.001,623.79,314.021
2023-11-11T04:05:00,46.056,1.002,445.795,357.051
2023-11-11T04:10:00,42.674,1.005,576.132,305.884
2023-11-11T04:15:00,50.806,0.961,447.784,417.202
2023-11-11T04:20:00,44.996,0.993,847.844,263.756
2023-11-11T04:25:00,41.127,1.006,638.704,296.697
2023-11-11T04:30:00,39.349,0.995,384.399,245.977
2023-11-11T04:35:00,41.767,0.926,557.505,268.173
2023-11-11T04:40:00,44.682,0.951,352.894,294.393
2023-11-11T04:45:00,44.974,0.957,412.758,292.032
2023-11-11T04:50:00,45.494,0.997,287.804,332.664
2023-11-11T04:55:00,46.933,1.005,186.526,281.872
2023-11-11T05:00:00,47.361,0.993,565.444,348.028
2023-11-11T05:05:00,55.36,1.006,641.937,462.393
2023-11-11T05:10:00,57.928,0.921,1745.565,457.64
2023-11-11T05:15:00,44.049,1.006,1550.355,177.622
2023-11-11T05:20:00,45.488,1.003,1551.705,396.868
2023-11-11T05:25:00,48.017,1.002,1162.376,399.992
2023-11-11T05:30:00,37.076,1.004,328.626,329.502
2023-11-11T05:35:00,44.391,0.939,1244.427,277.689
2023-11-11T05:40:00,49.082,1.003,384.055,415.079
2023-11-11T05:45:00,40.486,0.994,512.631,327.553
2023-11-11T05:50:00,39.531,0.959,398.042,223.227
2023-11-11T05:55:00,42.943,1.004,317.632,312.419
2023-11-11T06:00:00,41.671,1.0,610.713,280.747
2023-11-11T06:05:00,41.031,1.003,242.671,261.313
2023-11-11T06:10:00,39.605,0.998,428.942,242.486
2023-11-11T06:15:00,43.196,0.945,295.956,338.224
2023-11-11T06:20:00,53.045,0.999,435.139,410.948
2023-11-11T06:25:00,50.872,0.986,480.861,366.722
2023-11-11T06:30:00,53.38,0.983,292.623,368.117
2023-11-11T06:35:00,57.403,1.006,385.347,534.749
2023-11-11T06:40:00,52.742,0.942,1195.584,352.751
2023-11-11T06:45:00,55.26,0.998,334.172,417.349
2023-11-11T06:50:00,64.442,1.003,732.623,579.135
2023-11-11T06:55:00,59.831,1.005,722.168,615.893
2023-11-11T07:00:00,61.769,1.0,815.052,734.19
2023-11-11T07:05:00,52.085,0.962,1735.515,470.432
2023-11-11T07:10:00,51.211,0.977,1151.287,478.568
2023-11-11T07:15:00,60.203,0.997,1180.258,600.337
2023-11-11T07:20:00,54.546,0.937,674.258,433.794
2023-11-11T07:25:00,56.616,0.999,524.355,474.805
