timestamp,rmssd,coverage,low_frequency,high_frequency
2023-10-17T00:20:00,30.19,0.706,634.317,232.415
2023-10-17T00:30:00,22.151,0.97,514.952,158.568
2023-10-17T00:35:00,20.634,1.002,401.862,93.271
2023-10-17T00:40:00,21.742,0.978,1877.166,143.39
2023-10-17T00:45:00,39.025,0.941,4648.081,228.552
2023-10-17T00:50:00,31.832,1.003,2806.661,151.175
2023-10-17T00:55:00,26.254,0.944,1805.058,212.014
2023-10-17T01:00:00,39.499,0.98,5876.046,235.769
2023-10-17T01:05:00,38.315,0.989,4019.214,368.256
2023-10-17T01:10:00,29.263,1.004,970.57,247.233
2023-10-17T01:15:00,30.08,0.971,1717.69,263.992
2023-10-17T01:20:00,21.924,0.953,683.756,72.693
2023-10-17T01:25:00,26.55,1.002,823.282,130.389
2023-10-17T01:30:00,29.662,1.004,638.814,175.974
2023-10-17T01:35:00,25.331,1.0,573.488,168.343
2023-10-17T01:40:00,27.081,0.992,495.21,168.756
2023-10-17T01:45:00,33.13,0.939,1517.387,249.886
2023-10-17T01:50:00,36.773,0.889,518.914,288.172
2023-10-17T01:55:00,41.677,0.95,2591.417,302.467
2023-10-17T02:00:00,53.054,0.918,5013.539,285.43
2023-10-17T02:05:00,41.026,0.956,2474.261,311.525
2023-10-17T02:10:00,28.157,0.99,1771.17,129.281
2023-10-17T02:15:00,26.247,0.992,1365.466,122.617
2023-10-17T02:20:00,34.434,0.989,2155.711,261.336
2023-10-17T02:25:00,37.09,0.929,1443.629,262.654
2023-10-17T02:30:00,44.542,1.004,2234.913,289.346
2023-10-17T02:35:00,43.674,0.976,2130.136,358.511
2023-10-17T02:40:00,39.234,0.901,1317.573,355.693
2023-10-17T02:45:00,34.741,1.001,1411.697,272.14
2023-10-17T02:50:00,27.42,1.003,267.943,147.296
2023-10-17T02:55:00,35.13,0.896,1360.707,218.376
2023-10-17T03:00:00,27.232,0.969,714.838,149.116
2023-10-17T03:05:00,35.546,0.998,602.237,236.764
2023-10-17T03:10:00,32.597,1.004,838.124,254.827
2023-10-17T03:15:00,28.542,1.003,688.441,133.589
2023-10-17T03:20:00,35.231,0.974,1727.392,155.96
2023-10-17T03:25:00,30.29,1.003,366.762,205.742
2023-10-17T03:30:00,34.483,0.754,2805.258,169.268
2023-10-17T03:50:00,29.068,1.003,1728.3,123.411
2023-10-17T03:55:00,34.836,0.988,3586.898,216.114
2023-10-17T04:00:00,35.941,1.004,3621.205,375.974
2023-10-17T04:05:00,22.693,1.004,1067.673,75.215
2023-10-17T04:10:00,51.291,0.959,5537.092,395.054
2023-10-17T04:15:00,53.196,1.004,3040.602,523.816
2023-10-17T04:20:00,56.374,1.003,2588.972,842.927
2023-10-17T04:25:00,35.333,0.98,2693.677,234.544
2023-10-17T04:30:00,37.408,0.983,1106.384,194.037
2023-10-17T04:35:00,32.134,0.976,1654.835,106.187
2023-10-17T04:40:00,34.402,1.002,759.018,214.558
2023-10-17T04:45:00,46.952,0.891,4175.797,185.739
2023-10-17T04:50:00,38.254,0.987,1785.149,215.72
2023-10-17T04:55:00,28.145,0.996,300.286,144.606
2023-10-17T05:00:00,37.713,0.948,1422.019,240.118
2023-10-17T05:05:00,30.187,1.003,1010.474,229.34
2023-10-17T05:10:00,26.062,1.003,207.972,127.859
2023-10-17T05:15:00,23.056,1.0,264.117,119.008
2023-10-17T05:20:00,44.263,0.937,2878.427,247.504
2023-10-17T05:25:00,36.463,1.005,632.223,198.91
2023-10-17T05:30:00,28.33,1.003,406.246,159.725
2023-10-17T05:35:00,35.799,0.964,2358.381,252.011
2023-10-17T05:40:00,50.859,0.961,2544.053,243.275
2023-10-17T05:45:00,36.52,1.002,2457.104,211.536
2023-10-17T05:50:00,26.03,0.996,1262.81,87.782
2023-10-17T05:55:00,29.376,0.968,1557.81,84.136
2023-10-17T06:00:00,34.372,1.001,2321.224,201.97
2023-10-17T06:05:00,35.529,0.992,3201.557,227.578
2023-10-17T06:10:00,25.517,0.963,611.803,110.931
2023-10-17T06:15:00,62.319,0.958,1677.057,757.492
2023-10-17T06:20:00,41.934,0.984,1333.209,295.734
2023-10-17T06:25:00,40.361,0.971,2789.501,236.287
2023-10-17T06:30:00,43.885,0.974,2065.158,221.103
2023-10-17T06:35:00,68.154,1.002,466.286,1030.175
2023-10-17T06:40:00,42.669,1.001,1476.376,352.329
2023-10-17T06:45:00,37.18,1.002,1032.364,250.799
2023-10-17T06:50:00,44.503,0.956,1422.2,231.849
2023-10-17T06:55:00,29.281,1.006,1075.834,131.058
2023-10-17T07:00:00,28.675,0.999,360.72,127.371
2023-10-17T07:05:00,26.592,0.931,410.519,96.188
2023-10-17T07:10:00,25.654,0.934,516.222,125.215
2023-10-17T07:15:00,35.957,0.95,3247.996,158.976
2023-10-17T07:20:00,69.71,0.866,4764.825,489.233
2023-10-17T07:25:00,36.86,0.708,2811.651,151.486
