timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-11-01T07:57:30,18.6,1.1,8.368,18.6,1.1,8.368,18.0,1.3,6.797,-1.0,0.0,1.82
2023-11-03T08:22:30,18.4,1.4,5.941,18.4,1.4,5.941,17.8,2.3,11.83,29.4,0.6,2.922
2023-11-05T08:01:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2023-11-07T08:58:30,18.2,1.3,5.171,18.2,1.3,5.171,17.6,1.9,11.351,-1.0,0.0,2.038
2023-11-08T08:53:30,15.6,2.0,10.75,15.6,2.0,10.75,16.6,2.1,11.29,16.8,3.0,7.053
2023-11-09T08:56:30,17.8,1.3,7.458,17.8,1.3,7.458,17.2,1.6,9.034,-1.0,0.0,2.46
2023-11-10T08:07:00,15.6,0.7,6.388,15.6,0.7,6.388,15.4,1.0,3.667,-1.0,0.0,1.942
2023-11-11T09:04:30,17.2,1.7,10.953,17.6,0.6,3.824,17.2,1.7,10.953,14.2,0.8,3.115
2023-11-13T09:09:30,17.4,1.3,6.722,17.4,1.3,6.722,17.0,1.6,9.601,-1.0,0.0,1.636
2023-11-14T09:10:30,17.6,1.6,7.653,17.6,1.6,7.653,17.4,1.9,13.507,-1.0,0.0,2.372
2023-11-15T08:53:30,17.8,1.5,9.869,17.8,1.5,9.869,17.4,1.8,10.067,15.6,2.0,3.955
2023-11-17T08:48:30,17.2,1.2,4.705,17.2,1.2,4.705,17.2,1.7,12.167,15.2,1.2,3.528
2023-11-18T08:59:30,17.4,2.0,9.805,17.4,2.0,9.805,17.2,1.6,9.337,-1.0,0.0,2.308
2023-11-20T09:10:00,16.6,1.3,6.464,16.6,1.3,6.464,17.0,1.3,8.481,16.6,1.3,3.998
2023-11-21T07:46:30,17.8,1.1,4.786,17.8,1.1,4.786,17.4,1.8,10.681,10.0,1.4,3.213
2023-11-22T07:59:30,17.8,1.2,4.942,17.8,1.2,4.942,17.4,1.1,8.884,-1.0,0.0,1.7
2023-11-24T08:11:30,17.4,1.5,7.409,17.4,1.5,7.409,17.6,2.1,7.189,16.2,1.8,4.051
2023-11-25T09:40:00,17.8,1.3,8.301,17.8,1.3,8.301,17.0,2.1,13.927,-1.0,0.0,2.099
2023-11-26T10:20:30,18.0,1.9,11.13,18.0,1.9,11.13,18.0,1.6,10.916,-1.0,0.0,1.501
2023-11-27T03:54:00,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2023-11-28T09:00:30,17.4,1.7,7.449,17.4,1.7,7.449,17.4,2.2,12.903,17.4,2.0,5.046
2023-11-29T09:05:30,18.0,1.9,6.57,18.0,1.9,6.57,17.2,1.3,8.53,-1.0,0.0,2.219
2023-11-30T09:05:30,16.8,0.9,4.805,16.8,0.9,4.805,17.2,2.0,13.757,16.8,1.1,3.657
