timestamp,rmssd,coverage,low_frequency,high_frequency
2023-10-20T00:55:00,24.357,0.871,4036.328,730.867
2023-10-20T01:00:00,19.569,1.003,241.024,76.884
2023-10-20T01:05:00,23.378,1.004,306.66,115.249
2023-10-20T01:10:00,34.577,0.961,3748.376,151.406
2023-10-20T01:15:00,23.715,1.003,1417.528,185.396
2023-10-20T01:20:00,20.006,1.001,295.134,92.258
2023-10-20T01:25:00,29.001,0.987,886.093,192.229
2023-10-20T01:30:00,28.853,0.943,576.562,164.446
2023-10-20T01:35:00,21.601,1.005,145.183,94.156
2023-10-20T01:40:00,26.561,0.983,431.314,136.656
2023-10-20T01:45:00,29.448,1.001,468.136,226.681
2023-10-20T01:50:00,16.709,1.005,89.262,61.572
2023-10-20T01:55:00,27.985,0.999,270.988,224.723
2023-10-20T02:00:00,30.448,0.966,1605.546,195.774
2023-10-20T02:05:00,28.36,0.949,3292.402,202.986
2023-10-20T02:10:00,27.454,0.817,1160.382,136.381
2023-10-20T02:15:00,30.318,0.916,618.492,177.203
2023-10-20T02:20:00,42.534,0.97,1543.92,399.854
2023-10-20T02:25:00,37.386,0.967,2174.668,321.294
2023-10-20T02:30:00,35.708,0.98,1446.575,264.381
2023-10-20T02:35:00,34.406,0.934,1032.37,175.107
2023-10-20T02:40:00,34.939,0.93,1057.552,151.826
2023-10-20T02:50:00,31.08,1.001,1735.318,106.527
2023-10-20T02:55:00,30.201,1.002,1204.652,234.982
2023-10-20T03:00:00,33.048,0.99,2261.548,166.172
2023-10-20T03:05:00,28.36,0.942,2602.891,217.46
2023-10-20T03:10:00,19.468,1.004,780.827,65.908
2023-10-20T03:15:00,32.6,0.864,2932.919,113.403
2023-10-20T03:20:00,34.225,0.819,1941.076,306.346
2023-10-20T03:25:00,23.712,1.003,41.202,99.524
2023-10-20T03:30:00,30.829,1.002,1490.577,198.667
2023-10-20T03:35:00,42.132,0.997,2005.375,412.625
2023-10-20T03:40:00,37.714,1.002,2016.909,187.207
2023-10-20T03:50:00,33.058,0.926,2686.436,225.327
2023-10-20T03:55:00,34.174,0.95,2593.646,212.814
2023-10-20T04:00:00,39.182,0.959,2919.754,351.834
2023-10-20T04:05:00,41.019,0.972,3046.067,296.116
2023-10-20T04:10:00,45.51,0.982,4249.11,516.79
2023-10-20T04:15:00,28.464,0.994,705.668,139.022
2023-10-20T04:20:00,45.073,0.974,1483.173,391.35
2023-10-20T04:25:00,59.407,1.002,3559.496,1226.112
2023-10-20T04:30:00,75.331,0.95,3146.487,935.736
2023-10-20T04:35:00,53.058,1.005,1781.21,667.533
2023-10-20T04:40:00,46.739,0.97,1030.114,252.705
2023-10-20T04:45:00,32.82,1.003,685.424,229.876
2023-10-20T04:50:00,44.599,1.005,1651.015,372.559
2023-10-20T04:55:00,39.277,0.983,3632.1,291.432
2023-10-20T05:00:00,35.426,1.005,474.925,256.758
2023-10-20T05:05:00,38.248,0.94,1266.027,295.892
2023-10-20T05:10:00,39.224,0.949,1302.26,268.99
2023-10-20T05:15:00,63.222,0.778,3679.534,387.506
2023-10-20T05:20:00,81.922,0.99,6494.289,770.959
2023-10-20T05:25:00,56.046,1.004,3556.113,643.379
2023-10-20T05:30:00,32.877,0.965,1696.61,197.301
2023-10-20T05:35:00,55.598,1.004,2687.882,779.705
2023-10-20T05:40:00,69.666,0.987,2555.195,824.592
2023-10-20T05:45:00,51.034,0.984,1288.893,387.43
2023-10-20T05:50:00,31.837,1.003,1134.967,194.129
2023-10-20T05:55:00,84.988,0.932,3780.446,831.385
2023-10-20T06:00:00,59.449,1.001,1480.867,709.066
2023-10-20T06:05:00,100.693,0.955,4023.808,2601.149
2023-10-20T06:10:00,76.275,0.898,5078.579,883.699
2023-10-20T06:15:00,84.51,1.004,3262.33,1607.738
2023-10-20T06:20:00,87.012,1.002,1557.436,2521.806
2023-10-20T06:25:00,90.129,1.002,1944.775,1754.99
2023-10-20T06:30:00,88.887,1.005,1957.845,1612.766
2023-10-20T06:35:00,52.442,1.003,2857.824,635.132
2023-10-20T06:40:00,53.127,1.005,1156.812,764.132
2023-10-20T06:45:00,42.21,0.999,1056.269,332.093
2023-10-20T06:50:00,52.355,1.003,1314.904,489.591
2023-10-20T06:55:00,49.831,1.004,1053.37,522.834
2023-10-20T07:00:00,46.386,1.004,799.971,576.778
2023-10-20T07:05:00,69.015,0.832,5682.287,528.54
2023-10-20T07:10:00,121.028,0.901,3623.269,2390.272
2023-10-20T07:15:00,114.124,0.831,4273.986,2082.108
2023-10-20T07:20:00,108.497,0.81,5983.309,1198.279
2023-10-20T07:25:00,100.843,0.988,5181.709,3496.563
2023-10-20T07:30:00,58.466,0.97,5928.298,3143.863
2023-10-20T07:35:00,69.622,0.972,3520.31,1148.039
2023-10-20T07:40:00,52.766,1.002,2442.298,506.23
2023-10-20T07:45:00,73.222,0.982,4248.437,1875.035
2023-10-20T07:50:00,89.605,0.921,2611.339,2487.237
2023-10-20T07:55:00,126.865,0.907,1611.174,3545.959
2023-10-20T08:00:00,47.293,0.752,1974.016,336.284
