timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-27T00:20:00,51.633,0.838,832.746,484.324
2023-09-27T00:25:00,76.755,1.006,269.827,943.805
2023-09-27T00:30:00,69.163,0.983,218.469,779.911
2023-09-27T00:35:00,59.999,1.007,150.743,565.947
2023-09-27T00:40:00,51.603,0.987,264.256,404.88
2023-09-27T00:45:00,54.025,0.992,143.35,414.159
2023-09-27T00:50:00,45.808,0.98,336.602,314.725
2023-09-27T00:55:00,51.158,0.999,134.905,373.717
2023-09-27T01:00:00,44.182,0.926,1644.766,311.151
2023-09-27T01:05:00,48.546,1.002,834.941,358.252
2023-09-27T01:10:00,40.752,0.959,147.042,228.59
2023-09-27T01:15:00,54.039,0.953,665.15,440.396
2023-09-27T01:20:00,48.804,1.003,379.816,321.32
2023-09-27T01:25:00,50.736,0.948,701.63,362.649
2023-09-27T01:30:00,50.284,0.961,924.77,407.731
2023-09-27T01:35:00,52.855,1.001,439.567,473.475
2023-09-27T01:40:00,60.26,0.96,1026.253,694.635
2023-09-27T01:45:00,51.069,0.956,1972.385,349.766
2023-09-27T01:50:00,53.913,0.995,767.357,522.81
2023-09-27T01:55:00,50.121,0.974,870.463,392.07
2023-09-27T02:00:00,48.776,0.987,406.865,436.673
2023-09-27T02:05:00,41.767,1.005,276.77,296.464
2023-09-27T02:10:00,41.477,1.001,213.213,279.871
2023-09-27T02:15:00,45.363,0.959,965.697,364.594
2023-09-27T02:20:00,47.987,0.964,430.699,389.588
2023-09-27T02:25:00,50.639,0.997,330.477,353.957
2023-09-27T02:30:00,45.945,1.001,140.618,343.07
2023-09-27T02:35:00,47.489,0.998,566.062,352.752
2023-09-27T02:40:00,47.818,0.995,453.789,348.586
2023-09-27T02:45:00,45.407,0.94,834.667,292.694
2023-09-27T02:50:00,48.136,1.003,145.269,348.043
2023-09-27T02:55:00,47.717,0.95,344.837,283.816
2023-09-27T03:00:00,49.156,1.001,238.355,401.518
2023-09-27T03:05:00,46.958,1.002,287.916,364.407
2023-09-27T03:10:00,44.064,1.005,224.923,307.161
2023-09-27T03:15:00,52.185,1.003,249.614,338.658
2023-09-27T03:20:00,52.516,0.92,1749.476,330.502
2023-09-27T03:25:00,63.614,1.002,1840.77,534.52
2023-09-27T03:30:00,69.349,0.998,1769.423,900.556
2023-09-27T03:35:00,62.945,0.971,2683.53,422.123
2023-09-27T03:40:00,53.487,0.987,866.917,415.453
2023-09-27T03:45:00,54.924,0.997,477.375,523.004
2023-09-27T03:50:00,47.253,0.962,1601.657,444.416
2023-09-27T03:55:00,50.652,1.005,1060.138,408.353
2023-09-27T04:00:00,53.919,1.004,2138.592,594.97
2023-09-27T04:05:00,53.621,0.941,684.923,502.775
2023-09-27T04:10:00,46.995,1.003,1268.584,346.339
2023-09-27T04:15:00,49.235,1.004,178.942,340.004
2023-09-27T04:20:00,46.004,1.005,246.852,232.859
2023-09-27T04:25:00,49.381,1.003,216.905,324.996
2023-09-27T04:30:00,51.364,1.003,403.498,322.453
2023-09-27T04:35:00,53.559,1.003,321.585,400.961
2023-09-27T04:40:00,56.038,0.998,318.515,482.734
2023-09-27T04:45:00,61.146,0.944,753.036,545.685
2023-09-27T04:50:00,66.261,1.005,355.886,584.254
2023-09-27T04:55:00,64.16,0.952,981.793,532.493
2023-09-27T05:00:00,72.005,1.006,816.236,758.062
2023-09-27T05:05:00,77.69,0.999,590.261,990.182
2023-09-27T05:10:00,63.188,0.936,1264.562,519.967
2023-09-27T05:15:00,65.035,1.006,565.895,577.048
2023-09-27T05:20:00,61.799,1.001,571.467,495.131
2023-09-27T05:25:00,57.391,1.005,375.323,536.406
2023-09-27T05:30:00,54.408,0.993,890.901,473.385
2023-09-27T05:35:00,61.3,0.934,876.084,607.561
2023-09-27T05:40:00,75.147,1.003,868.305,947.399
2023-09-27T05:45:00,64.813,0.935,1971.277,522.839
2023-09-27T05:50:00,55.202,0.989,1359.659,465.049
2023-09-27T05:55:00,62.228,1.001,550.984,461.88
2023-09-27T06:00:00,63.539,1.007,431.678,505.217
2023-09-27T06:05:00,66.948,0.951,1463.238,618.336
2023-09-27T06:10:00,61.61,0.996,603.875,546.979
2023-09-27T06:15:00,60.881,0.971,1610.426,432.811
2023-09-27T06:20:00,58.168,1.004,533.164,484.96
2023-09-27T06:25:00,49.345,1.002,208.312,346.483
2023-09-27T06:30:00,50.124,0.979,289.952,356.883
2023-09-27T06:35:00,51.423,0.963,489.246,380.623
2023-09-27T06:40:00,64.257,1.005,573.418,636.428
2023-09-27T06:45:00,85.715,0.957,956.453,967.322
2023-09-27T06:50:00,84.148,1.006,686.565,896.865
2023-09-27T06:55:00,72.923,0.954,1036.426,739.974
2023-09-27T07:00:00,71.246,0.962,3837.077,864.422
2023-09-27T07:05:00,69.047,1.005,1090.652,665.853
2023-09-27T07:10:00,91.71,0.936,2446.933,979.347
2023-09-27T07:15:00,77.251,1.003,1084.5,802.087
2023-09-27T07:20:00,71.745,1.005,989.656,896.028
2023-09-27T07:25:00,78.595,0.995,618.829,875.315
2023-09-27T07:30:00,68.779,1.004,550.781,746.629
2023-09-27T07:35:00,65.322,0.956,936.14,751.707
2023-09-27T07:40:00,58.136,1.003,722.279,602.066
2023-09-27T07:45:00,55.989,0.882,704.252,510.78
2023-09-27T07:55:00,60.224,0.937,1078.605,796.451
2023-09-27T08:00:00,66.649,1.003,273.461,953.655
2023-09-27T08:05:00,61.635,1.002,934.414,652.07
2023-09-27T08:10:00,70.869,1.005,1325.384,993.709
2023-09-27T08:15:00,63.526,0.935,1669.592,584.571
2023-09-27T08:20:00,59.602,1.003,1030.531,559.618
2023-09-27T08:25:00,60.498,0.991,601.738,617.708
2023-09-27T08:30:00,59.524,1.005,1043.178,543.23
2023-09-27T08:35:00,61.213,0.997,595.982,493.613
2023-09-27T08:40:00,64.418,0.958,917.918,689.032
