timestamp,rmssd,coverage,low_frequency,high_frequency
2023-09-09T01:00:00,43.358,1.003,291.572,277.667
2023-09-09T01:05:00,54.881,0.997,377.528,556.527
2023-09-09T01:10:00,51.638,0.992,508.547,473.388
2023-09-09T01:15:00,36.943,0.995,337.501,209.311
2023-09-09T01:20:00,39.446,1.002,210.595,238.76
2023-09-09T01:25:00,36.947,1.002,169.788,254.028
2023-09-09T01:30:00,37.523,1.002,224.025,267.921
2023-09-09T01:35:00,42.495,1.003,334.104,263.484
2023-09-09T01:40:00,37.608,1.004,394.838,206.912
2023-09-09T01:45:00,40.569,1.005,165.463,237.819
2023-09-09T01:50:00,41.044,1.002,213.922,319.149
2023-09-09T01:55:00,42.352,1.002,417.847,322.648
2023-09-09T02:00:00,41.092,0.924,525.626,206.561
2023-09-09T02:05:00,44.386,1.003,421.731,288.532
2023-09-09T02:10:00,40.727,1.003,404.186,296.444
2023-09-09T02:15:00,48.894,1.003,498.29,401.776
2023-09-09T02:20:00,53.82,1.004,1535.239,432.185
2023-09-09T02:25:00,52.808,0.938,854.446,304.919
2023-09-09T02:30:00,43.069,0.992,518.655,246.065
2023-09-09T02:35:00,46.033,0.999,597.504,270.909
2023-09-09T02:40:00,49.476,0.967,262.997,314.668
2023-09-09T02:45:00,51.313,1.003,624.155,411.951
2023-09-09T02:50:00,54.209,1.005,475.857,401.532
2023-09-09T02:55:00,73.653,0.934,4477.314,1888.962
2023-09-09T03:00:00,124.165,0.857,10573.353,3223.947
2023-09-09T03:15:00,61.316,0.772,1379.36,530.989
2023-09-09T03:20:00,79.08,0.978,1034.866,742.829
2023-09-09T03:25:00,81.269,0.972,722.703,835.313
2023-09-09T03:30:00,51.718,0.937,944.825,428.389
2023-09-09T03:35:00,57.631,1.007,1029.168,417.408
2023-09-09T03:40:00,53.773,0.905,1297.726,344.847
2023-09-09T03:45:00,52.693,1.003,1170.46,368.801
2023-09-09T03:50:00,53.855,1.001,219.862,437.691
2023-09-09T03:55:00,52.997,1.002,1360.551,445.782
2023-09-09T04:00:00,55.239,0.999,363.276,501.809
2023-09-09T04:05:00,53.463,0.922,580.687,378.614
2023-09-09T04:10:00,49.244,1.005,748.828,359.182
2023-09-09T04:15:00,50.809,0.99,424.956,361.603
2023-09-09T04:20:00,64.44,0.905,1848.361,628.534
2023-09-09T04:25:00,67.334,0.926,1183.407,472.532
2023-09-09T04:30:00,79.209,0.812,3482.654,677.377
2023-09-09T04:35:00,69.218,0.991,1116.036,664.367
2023-09-09T04:40:00,65.867,0.839,1475.328,518.903
2023-09-09T04:45:00,81.212,0.841,14030.534,2183.341
2023-09-09T04:50:00,118.842,0.758,6155.721,1541.643
2023-09-09T04:55:00,95.981,0.874,4413.34,1412.627
2023-09-09T05:00:00,93.501,0.82,1485.109,1649.304
2023-09-09T05:05:00,59.63,1.006,823.302,448.996
2023-09-09T05:10:00,50.259,0.996,425.845,347.592
2023-09-09T05:15:00,50.834,1.004,282.924,293.175
2023-09-09T05:20:00,51.201,0.949,329.282,393.962
2023-09-09T05:25:00,52.893,1.004,809.442,338.574
2023-09-09T05:30:00,53.398,1.001,287.45,460.656
2023-09-09T05:35:00,55.919,0.985,428.701,531.488
2023-09-09T05:40:00,52.644,1.004,473.622,367.415
2023-09-09T05:45:00,57.082,0.969,437.515,403.185
2023-09-09T05:50:00,63.528,0.93,284.901,408.045
2023-09-09T05:55:00,69.798,0.997,508.514,661.317
2023-09-09T06:00:00,66.005,0.948,996.274,577.515
2023-09-09T06:05:00,72.953,1.005,1427.363,637.035
2023-09-09T06:10:00,85.301,0.934,1115.724,843.081
2023-09-09T06:15:00,77.935,0.999,1918.837,541.145
2023-09-09T06:20:00,75.368,0.976,3028.425,718.749
2023-09-09T06:25:00,76.819,0.956,579.876,908.979
2023-09-09T06:30:00,71.557,0.998,562.662,606.982
2023-09-09T06:35:00,75.764,1.002,588.08,660.681
2023-09-09T06:40:00,77.737,0.942,2396.136,860.998
2023-09-09T06:45:00,60.408,0.995,416.659,413.704
2023-09-09T06:50:00,48.945,1.005,902.456,335.417
2023-09-09T06:55:00,63.608,0.996,570.861,460.263
2023-09-09T07:00:00,60.952,0.912,2307.638,548.59
2023-09-09T07:05:00,56.805,1.003,1203.868,528.869
2023-09-09T07:10:00,54.733,1.004,813.912,428.93
2023-09-09T07:15:00,49.887,0.964,1008.306,317.817
2023-09-09T07:20:00,39.125,0.991,252.281,222.353
2023-09-09T07:25:00,33.135,0.97,700.64,144.625
2023-09-09T07:30:00,38.841,0.974,261.973,232.577
2023-09-09T07:35:00,42.28,0.948,698.971,227.7
2023-09-09T07:40:00,47.587,0.952,265.048,260.583
2023-09-09T07:45:00,45.267,0.964,333.365,298.529
2023-09-09T07:50:00,44.876,0.991,797.401,265.206
2023-09-09T07:55:00,50.499,1.004,1189.07,593.484
2023-09-09T08:00:00,49.613,0.999,413.924,332.954
2023-09-09T08:05:00,44.487,0.983,364.716,238.308
2023-09-09T08:10:00,48.896,0.925,1135.314,339.389
2023-09-09T08:15:00,53.844,0.946,719.382,405.466
2023-09-09T08:20:00,82.431,0.942,1519.849,601.536
2023-09-09T08:25:00,102.294,0.985,1032.533,1186.347
2023-09-09T08:30:00,77.978,0.938,4123.023,871.801
2023-09-09T08:35:00,78.064,1.006,1214.997,989.072
2023-09-09T08:40:00,56.156,0.83,764.588,743.0
2023-09-09T08:45:00,57.964,0.732,647.238,553.069
