timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-12-01T09:09:30,17.4,1.2,5.685,17.4,1.2,5.685,17.0,1.7,11.476,16.2,2.5,6.588
2023-12-02T09:03:30,18.0,1.6,5.449,18.0,1.6,5.449,17.0,1.6,10.517,-1.0,0.0,2.013
2023-12-03T10:18:30,17.2,1.6,9.47,17.2,1.6,9.47,16.8,1.7,12.333,-1.0,0.0,1.866
2023-12-04T09:21:00,18.0,1.5,7.649,18.0,1.5,7.649,17.4,1.6,9.899,-1.0,0.0,2.301
2023-12-05T09:19:30,17.8,2.0,7.144,17.8,2.0,7.144,17.2,1.5,6.75,-1.0,0.0,1.426
2023-12-06T09:02:30,18.0,1.9,8.986,18.0,1.9,8.986,17.4,2.1,19.388,-1.0,0.0,2.139
2023-12-07T08:10:00,19.0,1.2,6.996,19.0,1.2,6.996,17.8,1.8,13.266,-1.0,0.0,1.383
2023-12-08T09:23:30,18.6,1.7,8.593,18.6,1.7,8.593,17.8,1.7,11.267,-1.0,0.0,2.221
2023-12-09T08:47:00,18.0,1.9,9.47,18.0,1.9,9.47,17.8,1.9,11.673,-1.0,0.0,1.33
2023-12-11T09:10:00,19.4,1.4,5.095,19.4,1.4,5.095,18.2,1.7,8.353,17.8,2.2,5.534
2023-12-12T07:39:30,16.4,0.7,7.814,16.4,0.7,7.814,16.2,1.2,10.758,9.4,0.9,2.762
2023-12-14T09:04:30,19.0,0.7,6.859,19.0,0.7,6.859,18.0,1.7,8.623,-1.0,0.0,1.792
2023-12-15T09:32:30,18.4,0.9,4.53,18.4,0.9,4.53,16.8,2.0,7.81,18.6,0.6,2.953
2023-12-16T08:27:30,18.0,1.3,4.961,18.0,1.3,4.961,17.2,2.1,10.224,17.8,3.8,7.467
2023-12-17T09:26:30,17.4,1.6,7.281,17.4,1.6,7.281,17.6,2.4,22.302,-1.0,0.0,1.88
2023-12-18T08:48:30,16.2,2.1,6.801,16.2,2.1,6.801,17.8,2.0,14.791,-1.0,0.0,1.628
2023-12-19T09:01:00,17.4,1.9,10.055,17.6,2.0,3.8,17.4,1.9,10.055,-1.0,0.0,2.328
2023-12-20T08:13:30,18.0,1.3,6.501,18.0,1.3,6.501,17.4,1.4,8.578,29.6,0.4,3.123
2023-12-21T08:56:00,18.2,1.0,7.093,18.2,1.0,7.093,17.8,1.4,10.638,-1.0,0.0,1.58
2023-12-22T07:16:30,15.6,0.8,9.568,15.6,0.8,9.568,15.8,1.3,7.879,-1.0,0.0,1.876
2023-12-23T10:16:30,18.0,1.8,4.982,18.0,1.8,4.982,17.2,2.2,11.299,-1.0,0.0,1.709
2023-12-24T09:23:00,18.8,1.3,6.598,18.8,1.3,6.598,18.2,2.5,13.034,-1.0,0.0,1.875
2023-12-25T09:50:00,17.4,0.9,6.347,17.4,0.9,6.347,18.0,2.0,11.928,-1.0,0.0,1.77
2023-12-26T10:04:00,18.0,1.8,6.995,18.0,1.8,6.995,17.6,1.9,9.494,16.4,1.4,3.899
2023-12-28T08:10:30,17.6,1.6,7.505,17.6,1.6,7.505,17.4,2.1,14.911,-1.0,0.0,2.216
2023-12-29T08:07:00,17.4,1.3,7.502,17.4,1.3,7.502,17.2,1.6,13.881,17.2,2.7,7.875
2023-12-30T08:25:30,17.0,1.4,7.089,17.0,1.4,7.089,17.2,1.8,10.501,-1.0,0.0,2.413
