timestamp,rmssd,coverage,low_frequency,high_frequency
2023-12-21T00:45:00,52.057,0.923,398.366,407.545
2023-12-21T00:50:00,54.523,0.998,404.911,483.801
2023-12-21T00:55:00,49.998,0.99,1236.877,372.774
2023-12-21T01:00:00,45.695,0.998,397.163,336.418
2023-12-21T01:05:00,40.051,0.999,416.747,262.89
2023-12-21T01:10:00,41.605,1.003,146.948,279.999
2023-12-21T01:15:00,43.494,1.003,278.602,326.406
2023-12-21T01:20:00,52.744,1.004,175.437,445.07
2023-12-21T01:25:00,50.361,1.002,529.353,460.731
2023-12-21T01:30:00,48.783,0.997,179.517,297.354
2023-12-21T01:35:00,41.557,1.003,386.612,281.222
2023-12-21T01:40:00,40.298,0.942,220.144,289.123
2023-12-21T01:45:00,42.762,0.989,1230.455,331.819
2023-12-21T01:50:00,46.965,0.894,1482.87,256.255
2023-12-21T01:55:00,47.282,0.954,448.283,361.838
2023-12-21T02:00:00,42.451,0.99,305.931,329.684
2023-12-21T02:05:00,39.36,1.004,1019.276,283.542
2023-12-21T02:10:00,37.732,0.998,203.586,285.218
2023-12-21T02:15:00,39.316,0.93,530.254,252.192
2023-12-21T02:20:00,77.175,0.99,876.444,1050.262
2023-12-21T02:25:00,61.502,0.944,327.112,533.082
2023-12-21T02:30:00,46.014,0.983,2530.158,411.054
2023-12-21T02:35:00,39.964,1.004,435.428,243.114
2023-12-21T02:40:00,40.544,1.004,591.179,283.363
2023-12-21T02:45:00,45.272,0.919,4358.398,284.571
2023-12-21T02:50:00,43.572,0.929,1645.898,317.343
2023-12-21T02:55:00,43.513,1.003,681.102,373.853
2023-12-21T03:00:00,38.191,0.956,1714.338,268.584
2023-12-21T03:05:00,45.043,0.966,1246.692,404.545
2023-12-21T03:10:00,54.916,0.988,629.244,457.985
2023-12-21T03:15:00,40.56,1.003,1121.74,191.067
2023-12-21T03:20:00,42.697,0.999,790.551,323.459
2023-12-21T03:25:00,59.521,0.997,998.679,650.673
2023-12-21T03:30:00,61.982,1.004,1001.939,759.804
2023-12-21T03:35:00,49.418,1.0,895.704,458.918
2023-12-21T03:40:00,39.914,1.004,601.181,293.425
2023-12-21T03:45:00,41.056,1.003,325.283,341.806
2023-12-21T03:50:00,46.616,0.958,424.166,410.824
2023-12-21T03:55:00,50.535,1.002,380.766,454.035
2023-12-21T04:00:00,53.537,1.002,493.824,313.546
2023-12-21T04:05:00,57.72,0.981,681.106,400.267
2023-12-21T04:10:00,60.067,0.978,410.103,592.413
2023-12-21T04:15:00,54.177,0.987,580.16,486.854
2023-12-21T04:20:00,52.193,1.0,420.715,389.01
2023-12-21T04:25:00,52.962,1.004,437.918,334.919
2023-12-21T04:30:00,63.393,1.006,1880.203,675.448
2023-12-21T04:35:00,66.07,0.997,357.978,842.265
2023-12-21T04:40:00,76.258,1.006,458.458,912.357
2023-12-21T04:45:00,70.069,0.953,994.514,879.534
2023-12-21T04:50:00,62.539,0.999,952.678,638.762
2023-12-21T04:55:00,73.107,0.971,1048.019,640.116
2023-12-21T05:00:00,62.026,0.954,1216.102,701.237
2023-12-21T05:05:00,64.307,1.002,1503.415,670.488
2023-12-21T05:10:00,49.917,1.001,472.569,380.79
2023-12-21T05:15:00,61.003,0.971,917.343,549.082
2023-12-21T05:20:00,64.356,0.959,998.518,449.993
2023-12-21T05:25:00,57.717,1.001,720.168,420.881
2023-12-21T05:30:00,67.499,0.993,911.569,630.213
2023-12-21T05:35:00,55.607,0.98,734.752,470.718
2023-12-21T05:40:00,52.307,1.003,886.361,483.09
2023-12-21T05:45:00,46.199,0.834,1646.762,217.791
2023-12-21T05:50:00,47.268,0.982,1355.726,311.733
