timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-10-01T08:46:30,18.0,0.7,7.363,18.0,0.7,7.363,18.0,1.8,16.782,-1.0,0.0,2.146
2023-10-02T08:24:30,17.6,2.3,7.749,17.6,2.3,7.749,18.6,2.1,12.793,-1.0,0.0,1.625
2023-10-03T07:39:00,15.6,0.9,7.911,15.6,0.9,7.911,15.8,1.0,4.257,-1.0,0.0,2.313
2023-10-04T08:26:30,18.2,2.1,10.923,-1.0,0.0,2.396,18.2,2.1,10.923,-1.0,0.0,1.961
2023-10-05T08:19:30,16.0,0.8,5.31,16.0,0.8,5.31,16.0,0.5,4.675,-1.0,0.0,1.803
2023-10-07T09:10:30,18.0,1.6,10.428,-1.0,0.0,0.0,18.0,1.6,10.428,-1.0,0.0,2.336
2023-10-08T10:27:30,18.4,1.8,7.101,18.4,1.8,7.101,18.2,1.4,11.446,-1.0,0.0,1.902
2023-10-09T08:00:00,19.0,0.8,5.367,19.0,0.8,5.367,18.8,1.5,11.917,-1.0,0.0,1.528
2023-10-10T07:58:00,15.4,0.8,6.974,15.4,0.8,6.974,15.2,0.7,5.929,-1.0,0.0,2.08
2023-10-11T08:08:30,15.6,1.3,7.485,15.6,1.3,7.485,15.8,0.6,4.5,-1.0,0.0,2.405
2023-10-12T09:22:30,18.0,1.8,8.626,18.0,1.8,8.626,18.0,1.6,11.821,-1.0,0.0,1.701
2023-10-13T09:00:00,18.6,1.5,7.429,18.6,1.5,7.429,18.8,1.4,14.991,-1.0,0.0,1.605
2023-10-14T11:09:30,18.2,2.0,15.068,-1.0,0.0,1.898,18.2,2.0,15.068,-1.0,0.0,1.077
2023-10-15T09:13:30,18.6,1.4,4.415,18.6,1.4,4.415,17.8,1.9,11.16,-1.0,0.0,1.774
2023-10-16T10:30:30,18.4,1.6,7.897,18.4,1.6,7.897,17.4,1.9,9.06,-1.0,0.0,1.706
2023-10-17T07:37:00,16.2,0.5,4.372,16.2,0.5,4.372,16.0,0.8,5.527,-1.0,0.0,2.337
2023-10-18T07:30:30,16.4,0.8,6.142,16.4,0.8,6.142,16.2,0.9,7.373,-1.0,0.0,1.485
2023-10-19T07:20:30,16.6,0.8,6.791,16.6,0.8,6.791,16.6,0.8,10.139,-1.0,0.0,2.47
2023-10-20T08:12:30,16.8,0.5,4.774,-1.0,0.0,2.23,16.8,0.5,4.774,-1.0,0.0,2.011
2023-10-23T09:19:30,18.2,1.1,6.152,18.2,1.1,6.152,17.8,1.4,8.036,-1.0,0.0,2.191
2023-10-24T09:08:30,18.6,0.8,4.173,18.6,0.8,4.173,18.2,2.3,12.734,18.4,1.3,4.79
2023-10-25T07:15:30,16.0,0.5,5.614,16.0,0.5,5.614,16.2,0.6,6.555,14.4,0.6,3.431
2023-10-27T09:11:30,18.8,1.4,7.358,18.8,1.4,7.358,9.8,0.4,3.1,-1.0,0.0,1.275
2023-10-28T09:02:30,18.4,1.6,8.291,18.4,1.6,8.291,18.8,1.6,5.156,-1.0,0.0,2.377
2023-10-30T08:51:30,18.2,1.6,11.68,18.2,1.6,11.68,17.2,1.7,12.913,-1.0,0.0,1.801
2023-10-31T07:59:30,18.2,1.7,6.231,18.2,1.7,6.231,18.0,1.9,19.405,-1.0,0.0,1.767
