date_time,heart_zone_id,total_minutes
2023-11-12T10:33,PEAK,2
2023-11-12T10:34,PEAK,2
2023-11-12T10:35,PEAK,2
2023-11-12T10:36,PEAK,2
2023-11-12T10:37,PEAK,2
2023-11-12T10:38,PEAK,2
2023-11-12T10:39,PEAK,2
2023-11-12T10:40,PEAK,2
2023-11-12T10:41,PEAK,2
2023-11-12T10:42,PEAK,2
2023-11-12T10:43,PEAK,2
2023-11-12T10:44,PEAK,2
2023-11-12T10:45,PEAK,2
2023-11-12T10:46,PEAK,2
2023-11-12T10:47,PEAK,2
2023-11-12T10:48,PEAK,2
2023-11-12T10:49,PEAK,2
2023-11-12T10:50,PEAK,2
2023-11-12T10:51,PEAK,2
2023-11-12T10:52,PEAK,2
2023-11-12T10:53,PEAK,2
2023-11-12T10:54,PEAK,2
2023-11-12T10:55,PEAK,2
2023-11-12T10:56,CARDIO,2
2023-11-12T10:57,CARDIO,2
2023-11-12T10:58,CARDIO,2
2023-11-12T10:59,CARDIO,2
2023-11-12T11:00,CARDIO,2
2023-11-12T11:01,CARDIO,2
2023-11-12T11:02,FAT_BURN,1
2023-11-12T11:03,FAT_BURN,1
2023-11-12T11:04,FAT_BURN,1
2023-11-12T11:05,FAT_BURN,1
2023-11-12T11:06,FAT_BURN,1
2023-11-12T11:07,FAT_BURN,1
2023-11-12T11:08,FAT_BURN,1
2023-11-13T10:42,FAT_BURN,1
2023-11-13T10:43,FAT_BURN,1
2023-11-13T10:44,FAT_BURN,1
2023-11-13T10:45,FAT_BURN,1
2023-11-13T10:46,FAT_BURN,1
2023-11-13T10:47,FAT_BURN,1
2023-11-13T10:48,FAT_BURN,1
2023-11-13T11:11,FAT_BURN,1
2023-11-13T11:12,FAT_BURN,1
2023-11-13T11:13,FAT_BURN,1
2023-11-13T11:14,CARDIO,2
2023-11-13T11:15,FAT_BURN,1
2023-11-13T12:15,FAT_BURN,1
2023-11-13T12:16,FAT_BURN,1
2023-11-13T12:17,FAT_BURN,1
2023-11-13T12:18,FAT_BURN,1
2023-11-13T13:07,FAT_BURN,1
2023-11-13T13:08,FAT_BURN,1
2023-11-13T13:10,CARDIO,2
2023-11-13T13:11,PEAK,2
2023-11-13T15:06,PEAK,2
2023-11-13T15:07,PEAK,2
2023-11-13T15:08,PEAK,2
2023-11-13T15:09,PEAK,2
2023-11-13T15:10,CARDIO,2
2023-11-15T12:30,FAT_BURN,1
2023-11-15T12:31,FAT_BURN,1
2023-11-15T12:32,FAT_BURN,1
2023-11-15T12:33,FAT_BURN,1
2023-11-15T12:34,FAT_BURN,1
2023-11-15T12:35,FAT_BURN,1
2023-11-15T12:36,FAT_BURN,1
2023-11-15T12:37,FAT_BURN,1
2023-11-15T13:02,FAT_BURN,1
2023-11-15T13:03,FAT_BURN,1
2023-11-15T13:09,FAT_BURN,1
2023-11-15T13:10,FAT_BURN,1
2023-11-15T14:21,FAT_BURN,1
2023-11-15T14:22,FAT_BURN,1
2023-11-15T14:48,FAT_BURN,1
2023-11-15T14:49,FAT_BURN,1
2023-11-15T14:50,FAT_BURN,1
2023-11-15T14:51,FAT_BURN,1
2023-11-15T14:52,FAT_BURN,1
2023-11-15T14:53,FAT_BURN,1
2023-11-15T14:54,FAT_BURN,1
2023-11-15T14:56,FAT_BURN,1
2023-11-18T09:51,FAT_BURN,1
2023-11-18T09:52,FAT_BURN,1
2023-11-18T09:54,FAT_BURN,1
2023-11-18T09:55,FAT_BURN,1
2023-11-18T09:56,FAT_BURN,1
