DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2023-11-10T00:00:00,2023-11-10T23:26:59.678,0,0,0,0,0,0,0,NO_DATA,true
2023-11-11T00:00:00,2023-11-11T14:05:28.239,0,0,0,0,0,0,0,NO_DATA,true
2023-11-13T00:00:00,2023-11-14T14:11:41.974,0,0,0,0,0,0,0,NO_DATA,true
2023-11-14T00:00:00,2023-11-14T14:11:42.136,87,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-11-15T00:00:00,2023-11-15T14:18:31.809,0,0,0,0,0,0,0,NO_DATA,true
2023-11-17T00:00:00,2023-11-17T13:49:38.689,0,0,0,0,0,0,0,NO_DATA,true
2023-11-18T00:00:00,2023-11-18T15:32:18.79,0,0,0,0,0,0,0,NO_DATA,true
2023-11-20T00:00:00,2023-11-20T14:21:37.978,0,0,0,0,0,0,0,NO_DATA,true
2023-11-21T00:00:00,2023-11-21T13:21:27.003,0,0,0,0,0,0,0,NO_DATA,true
2023-11-22T00:00:00,2023-11-22T15:27:42.333,64,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-11-24T00:00:00,2023-11-24T13:12:34.817,0,0,0,0,0,0,0,NO_DATA,true
2023-11-25T00:00:00,2023-11-25T14:54:12.031,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-11-26T00:00:00,2023-11-26T15:21:07.857,0,0,0,0,0,0,0,NO_DATA,true
2023-11-27T00:00:00,2023-11-27T11:04:37.698,0,0,0,0,0,0,0,NO_DATA,true
2023-11-28T00:00:00,2023-11-28T14:01:11.493,0,0,0,0,0,0,0,NO_DATA,true
2023-11-29T00:00:00,2023-11-29T14:06:35.563,0,0,0,0,0,0,0,NO_DATA,true
2023-11-30T00:00:00,2023-11-30T14:06:46.544,0,0,0,0,0,0,0,NO_DATA,true
2023-12-01T00:00:00,2023-12-02T01:25:35.944,0,0,0,0,0,0,0,NO_DATA,true
2023-12-02T00:00:00,2023-12-02T14:04:33.098,0,0,0,0,0,0,0,NO_DATA,true
2023-12-03T00:00:00,2023-12-03T15:19:57.18,0,0,0,0,0,0,0,NO_DATA,true
2023-12-04T00:00:00,2023-12-05T14:20:52.698,0,0,0,0,0,0,0,NO_DATA,true
2023-12-05T00:00:00,2023-12-05T14:20:54.541,0,0,0,0,0,0,0,NO_DATA,true
2023-12-06T00:00:00,2023-12-06T14:03:38.5,0,0,0,0,0,0,0,NO_DATA,true
2023-12-07T00:00:00,2023-12-08T00:28:16.341,0,0,0,0,0,0,0,NO_DATA,true
2023-12-08T00:00:00,2023-12-08T14:24:22.673,0,0,0,0,0,0,0,NO_DATA,true
2023-12-09T00:00:00,2023-12-09T17:19:11.746,0,0,0,0,0,0,0,NO_DATA,true
2023-12-11T00:00:00,2023-12-11T16:50:36.138,0,0,0,0,0,0,0,NO_DATA,true
2023-12-12T00:00:00,2023-12-12T14:04:38.163,0,0,0,0,0,0,0,NO_DATA,true
2023-12-14T00:00:00,2023-12-14T15:00:57.831,0,0,0,0,0,0,0,NO_DATA,true
2023-12-15T00:00:00,2023-12-15T14:33:05.239,0,0,0,0,0,0,0,NO_DATA,true
2023-12-16T00:00:00,2023-12-16T13:28:56.35,0,0,0,0,0,0,0,NO_DATA,true
2023-12-17T00:00:00,2023-12-17T14:27:13.355,0,0,0,0,0,0,0,NO_DATA,true
2023-12-18T00:00:00,2023-12-18T13:49:42.123,0,0,0,0,0,0,0,NO_DATA,true
2023-12-19T00:00:00,2023-12-19T16:34:54.63,0,0,0,0,0,0,0,NO_DATA,true
2023-12-20T00:00:00,2023-12-20T13:30:38.255,0,0,0,0,0,0,0,NO_DATA,true
2023-12-21T00:00:00,2023-12-21T14:31:29.02,0,0,0,0,0,0,0,NO_DATA,true
2023-12-22T00:00:00,2023-12-22T12:30:09.453,61,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-12-23T00:00:00,2023-12-23T15:18:01.46,0,0,0,0,0,0,0,NO_DATA,true
2023-12-24T00:00:00,2023-12-24T14:37:11.771,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-12-25T00:00:00,2023-12-25T15:14:27.48,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-12-26T00:00:00,2023-12-26T15:29:42.123,0,0,0,0,0,0,0,NO_DATA,true
2023-12-28T00:00:00,2023-12-28T13:23:33.959,0,0,0,0,0,0,0,NO_DATA,true
2023-12-29T00:00:00,2023-12-29T13:59:56.1,0,0,0,0,0,0,0,NO_DATA,true
2023-12-30T00:00:00,2023-12-30T13:26:29.874,0,0,0,0,0,0,0,NO_DATA,true
